'자전거번호','대여일시','대여대여소번호','대여대여소명','대여거치대','반납일시','반납대여소번호','반납대여소명','반납거치대','이용시간(분)','이용거리(M)'
'SPB-08205','2018-01-01 00:15:14','1269',' 리센츠아파트 ',10,'2018-01-01 01:35:19','514',' 성수사거리 버스정류장 앞',7,72,25430
'SPB-09116','2018-01-01 00:16:19','520',' 상왕십리역 4번 출구 앞',7,'2018-01-01 00:31:51','538',' 답십리역 8번출구 앞',3,14,2720
'SPB-09319','2018-01-01 00:16:39','1209',' 잠실나루역 (2번 출구 쪽)',20,'2018-01-01 00:32:05','1215',' 올림픽공원역 1번출구 앞',8,15,3280
'SPB-08823','2018-01-01 00:17:02','130',' 신촌역(2호선) 7번출구 앞',8,'2018-01-01 00:31:55','156',' 서울서부지방법원 앞',3,14,2280
'SPB-07804','2018-01-01 00:17:14','502',' 뚝섬유원지역 1번출구 앞',2,'2018-01-01 01:19:00','1414',' 사가정역 1번출구',6,58,12360
'SPB-03296','2018-01-01 00:17:31','1113',' 서남환경공원 버스정류장',6,'2018-01-01 00:33:01','1120',' 대림경동아파트앞',4,15,3480
'SPB-04779','2018-01-01 00:17:32','1231',' 잠실역 6번출구',2,'2018-01-01 00:35:01','1224',' 아시아지하보도 2번 출구',11,17,2040
'SPB-08553','2018-01-01 00:17:52','2251',' 더케이호텔 입구(양재2) ',5,'2018-01-01 00:51:15','2336',' 강남세브란스교차로  래미안그레이튼 104동 앞',2,32,5040
'SPB-09187','2018-01-01 00:17:56','502',' 뚝섬유원지역 1번출구 앞',14,'2018-01-01 00:32:28','509',' 이마트 버스정류소 옆',4,14,2100
'SPB-07339','2018-01-01 00:17:57','502',' 뚝섬유원지역 1번출구 앞',7,'2018-01-01 00:32:29','509',' 이마트 버스정류소 옆',1,13,2160
'SPB-05922','2018-01-01 00:17:57','502',' 뚝섬유원지역 1번출구 앞',3,'2018-01-01 01:19:05','1414',' 사가정역 1번출구',10,60,13060
'SPB-01163','2018-01-01 00:18:10','501',' 광진구의회 앞',7,'2018-01-01 00:25:01','514',' 성수사거리 버스정류장 앞',1,6,1170
'SPB-12368','2018-01-01 00:19:17','130',' 신촌역(2호선) 7번출구 앞',10,'2018-01-01 00:28:22','143',' 공덕역 2번출구',4,8,1830
'SPB-12769','2018-01-01 00:20:10','309',' 광화문역 6번출구 옆',10,'2018-01-01 01:38:33','922',' 연신내역 4번출구',9,77,8540
'SPB-08706','2018-01-01 00:20:19','1351',' SK제삼주유소 앞',4,'2018-01-01 00:45:10','1322',' 래미안라센트아파트 103동 앞',5,23,3950
'SPB-02074','2018-01-01 00:21:08','1267',' 올림픽공원 남2문 앞',1,'2018-01-01 00:43:36','1210',' 롯데월드타워(잠실역2번출구 쪽)',8,22,2750
'SPB-10305','2018-01-01 00:21:13','515',' 광양중학교 앞',4,'2018-01-01 00:39:44','503',' 더샵스타시티 C동 앞',7,17,2840
'SPB-08493','2018-01-01 00:21:34','515',' 광양중학교 앞',6,'2018-01-01 00:39:49','503',' 더샵스타시티 C동 앞',5,18,2800
'SPB-13469','2018-01-01 00:21:43','916',' 평생학습관 앞',2,'2018-01-01 00:27:20','913',' 이마트 은평점',13,5,960
'SPB-09679','2018-01-01 00:21:43','2315',' 봉은사역 5번출구 옆',6,'2018-01-01 00:32:07','2313',' 금원빌딩 앞',9,10,1770
'SPB-07891','2018-01-01 00:21:45','303',' 광화문역 1번출구 앞',5,'2018-01-01 00:49:59','346',' 맥스타일 앞',5,26,3850
'SPB-02225','2018-01-01 00:21:54','2113',' 관악동작견인차량보관소',3,'2018-01-01 00:42:50','1901',' 신도림동주민센터 앞',2,20,5250
'SPB-03725','2018-01-01 00:21:57','1606',' 태릉입구역 3번출구 ',1,'2018-01-01 00:52:57','1637',' KT 노원점 건물 앞',1,30,4780
'SPB-02621','2018-01-01 00:22:13','320',' 을지로입구역 4번출구 앞',2,'2018-01-01 00:53:21','386',' 올림픽기념 국민생활관 앞',1,30,4340
'SPB-12739','2018-01-01 00:22:20','320',' 을지로입구역 4번출구 앞',1,'2018-01-01 00:53:22','386',' 올림픽기념 국민생활관 앞',3,29,4270
'SPB-12586','2018-01-01 00:22:40','2115',' 관악농협농산물백화점',4,'2018-01-01 00:26:33','2110',' 조원동 미성아파트',7,3,630
